model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,input_model_rank,v2_score,ranking_score,v2_rank
74,Elly De La Cruz,Cincinnati Reds,Milwaukee Brewers,Shane Drohan,2,Great American Ball Park,81,7.7,Strong,8.3,8.3,4.2,8.3,4.6,5.4,9.0,94.82,4.349597,291.0,3.8,8.1,3.3,9.2,Lineup context + Hitter skill,False,85,0.6125000000000002,0.6125000000000002,74
75,Victor Mesa Jr.,Tampa Bay Rays,Texas Rangers,Trevor Williams,5,Globe Life Field,94,7.7,Strong,3.9,9.3,7.6,9.3,5.2,5.5,6.0,96.62,7.456452,167.0,3.8,8.4,8.8,4.0,Pitch-type matchup + Pitcher vulnerability,False,134,0.6108333333333333,0.6108333333333333,75
76,Joshua Báez,St. Louis Cardinals,Colorado Rockies,Ryan Feltner,6,Coors Field,207,7.6,Strong,2.5,9.9,6.5,9.9,10.0,5.5,5.0,,,,9.8,8.2,7.3,8.6,Ballpark + Pitch-type matchup,False,120,0.61,0.61,76
77,Jackson Merrill,San Diego Padres,New York Yankees,Max Fried,5,Petco Park,105,7.6,Strong,8.8,9.1,2.8,9.1,5.7,5.5,6.0,,,,3.8,8.8,8.2,6.1,Pitch-type matchup + Hitter skill,False,76,0.6083333333333333,0.6083333333333333,77
78,Nolan Gorman,St. Louis Cardinals,Colorado Rockies,Ryan Feltner,7,Coors Field,207,7.6,Strong,6.3,7.6,6.5,7.6,10.0,5.5,4.0,,,,3.8,7.0,2.6,8.6,Ballpark + Pitch-type matchup,False,65,0.6019444444444444,0.6019444444444444,78
79,Sal Frelick,Milwaukee Brewers,Cincinnati Reds,Rhett Lowder,1,Great American Ball Park,81,7.6,Strong,9.1,4.0,7.9,4.0,4.6,5.4,10.0,94.82,4.349597,291.0,3.8,2.2,3.9,1.9,Lineup context + Hitter skill,False,44,0.5969444444444446,0.5969444444444446,79
80,Ryan Jeffers,Minnesota Twins,Chicago White Sox,Erick Fedde,4,Rate Field,69,7.5,Strong,7.5,8.0,5.4,8.0,4.1,5.5,7.0,,,,9.9,5.3,4.1,1.9,Recent power + Pitch-type matchup,False,67,0.5969444444444445,0.5969444444444445,80
81,Christian Walker,Houston Astros,Arizona Diamondbacks,Merrill Kelly,6,Daikin Park,111,7.5,Strong,8.3,3.8,8.2,3.8,6.0,5.5,5.0,,,,3.8,3.2,4.5,4.7,Hitter skill + Pitcher vulnerability,False,47,0.595,0.595,81
82,James Wood,Washington Nationals,Los Angeles Dodgers,Blake Snell,1,UNIQLO Field at Dodger Stadium,124,7.5,Strong,9.3,9.5,1.3,9.5,6.6,5.5,10.0,,,,3.8,5.8,6.7,9.9,Lineup context + Pitch-type matchup,False,57,0.5938888888888889,0.5938888888888889,82
83,Mickey Gasper,Boston Red Sox,Baltimore Orioles,Shane Baz,2,Oriole Park at Camden Yards,110,7.4,Above average,9.9,6.2,2.3,6.2,6.0,6.5,9.0,83.12,3.4175405,279.0,9.5,7.1,4.0,8.2,Hitter skill + Recent power,False,45,0.5925,0.5925,83
84,Alejandro Kirk,Toronto Blue Jays,Kansas City Royals,Daniel Lynch IV,4,Kauffman Stadium,168,7.4,Above average,7.8,3.1,6.2,3.1,8.6,5.5,7.0,96.98,8.2642343,177.0,7.4,6.4,6.1,9.4,Ballpark + Hitter skill,False,71,0.5919444444444445,0.5919444444444445,84
